id,name
685,DC Current 02
686,DC Current 03
687,DC Current 04
688,DC Current 05
689,DC Current 06
690,DC Current 07
691,DC Current 08
692,DC Current 09
693,DC Current 10
694,DC Current 11
695,DC Current 12
701,Active Power
702,Energy AC
713,Active Power AC
719,Module Board Temperature
723,Active Power AC
729,Module Board Temperature
733,Active Power AC
739,Module Board Temperature
743,DC Current 01
744,DC Current 02
745,DC Current 03
746,DC Current 04
747,DC Current 05
748,DC Current 06
749,DC Current 07
750,DC Current 08
751,DC Current 09
752,DC Current 10
753,DC Current 11
758,DC Current 01
759,DC Current 02
760,DC Current 03
761,DC Current 04
762,DC Current 05
763,DC Current 06
764,DC Current 07
765,DC Current 08
766,DC Current 09
767,DC Current 10
768,DC Current 11
769,DC Current 12
775,Active Power
776,Energy AC
787,Active Power AC
793,Module Board Temperature
797,Active Power AC
8,Active Power AC
803,Module Board Temperature
807,Active Power AC
81,Energy AC
813,Module Board Temperature
817,DC Current 01
818,DC Current 02
819,DC Current 03
820,DC Current 04
821,DC Current 05
822,DC Current 06
823,DC Current 07
824,DC Current 08
825,DC Current 09
826,DC Current 10
827,DC Current 11
832,DC Current 01
833,DC Current 02
834,DC Current 03
835,DC Current 04
836,DC Current 05
837,DC Current 06
838,DC Current 07
839,DC Current 08
840,DC Current 09
841,DC Current 10
842,DC Current 11
849,DC Current 12
850,Active Power
851,Energy AC
86,Active Power AC
862,Active Power AC
868,Module Board Temperature
872,Active Power AC
878,Module Board Temperature
882,Active Power AC
888,Module Board Temperature
892,DC Current 01
893,DC Current 02
894,DC Current 03
895,DC Current 04
896,DC Current 05
897,DC Current 06
898,DC Current 07
899,DC Current 08
9,Active Power
900,DC Current 09
901,DC Current 10
902,DC Current 11
908,DC Current 01
909,DC Current 02
91,Module Board Temperature
910,DC Current 03
911,DC Current 04
912,DC Current 05
913,DC Current 06
914,DC Current 07
915,DC Current 08
916,DC Current 09
917,DC Current 10
918,DC Current 11
924,DC Current 12
925,Active Power
926,Energy AC
937,Active Power AC
943,Module Board Temperature
947,Active Power AC
95,Active Power AC
953,Module Board Temperature
957,Active Power AC
963,Module Board Temperature
967,DC Current 01
968,DC Current 02
969,DC Current 03
970,DC Current 04
971,DC Current 05
972,DC Current 06
973,DC Current 07
974,DC Current 08
975,DC Current 09
976,DC Current 10
977,DC Current 11
982,DC Current 01
983,DC Current 02
984,DC Current 03
985,DC Current 04
986,DC Current 05
987,DC Current 06
988,DC Current 07
989,DC Current 08
990,DC Current 09
991,DC Current 10
992,DC Current 11
997,DC Current 12
999,Active Power
D.1000.DELTA,Energy AC DELTA
D.1000.EH,Ore equivalenti (Energy AC)
D.1011.ENERGY,Active Power AC ENERGY
D.1011.PERC,Active Power AC %
D.1021.ENERGY,Active Power AC ENERGY
D.1021.PERC,Active Power AC %
D.1031.ENERGY,Active Power AC ENERGY
D.1031.PERC,Active Power AC %
D.104.ENERGY,Active Power AC ENERGY
D.104.PERC,Active Power AC %
D.1073.ENERGY,Active Power ENERGY
D.1073.PERC,Active Power %
D.1074.DELTA,Energy AC DELTA
D.1074.EH,Ore equivalenti (Energy AC)
D.1085.ENERGY,Active Power AC ENERGY
D.1085.PERC,Active Power AC %
D.1095.ENERGY,Active Power AC ENERGY
D.1095.PERC,Active Power AC %
D.1105.ENERGY,Active Power AC ENERGY
D.1105.PERC,Active Power AC %
D.1146.ENERGY,Active Power ENERGY
D.1146.PERC,Active Power %
D.1147.DELTA,Energy AC DELTA
D.1147.EH,Ore equivalenti (Energy AC)
D.1158.ENERGY,Active Power AC ENERGY
D.1158.PERC,Active Power AC %
D.1168.ENERGY,Active Power AC ENERGY
D.1168.PERC,Active Power AC %
D.1178.ENERGY,Active Power AC ENERGY
D.1178.PERC,Active Power AC %
D.1219.ENERGY,Active Power ENERGY
D.1219.PERC,Active Power %
D.1220.DELTA,Energy AC DELTA
D.1220.EH,Ore equivalenti (Energy AC)
D.1231.ENERGY,Active Power AC ENERGY
D.1231.PERC,Active Power AC %
D.1241.ENERGY,Active Power AC ENERGY
D.1241.PERC,Active Power AC %
D.1251.ENERGY,Active Power AC ENERGY
D.1251.PERC,Active Power AC %
D.1292.ENERGY,Active Power ENERGY
D.1292.PERC,Active Power %
D.1293.DELTA,Energy AC DELTA
D.1293.EH,Ore equivalenti (Energy AC)
D.1304.ENERGY,Active Power AC ENERGY
D.1304.PERC,Active Power AC %
D.1314.ENERGY,Active Power AC ENERGY
D.1314.PERC,Active Power AC %
D.1324.ENERGY,Active Power AC ENERGY
D.1324.PERC,Active Power AC %
D.1365.ENERGY,Active Power ENERGY
D.1365.PERC,Active Power %
D.1366.DELTA,Energy AC DELTA
D.1366.EH,Ore equivalenti (Energy AC)
D.1377.ENERGY,Active Power AC ENERGY
D.1377.PERC,Active Power AC %
D.1387.ENERGY,Active Power AC ENERGY
D.1387.PERC,Active Power AC %
D.1397.ENERGY,Active Power AC ENERGY
D.1397.PERC,Active Power AC %
D.1438.ENERGY,Active Power ENERGY
D.1438.PERC,Active Power %
D.1439.DELTA,Energy AC DELTA
D.1439.EH,Ore equivalenti (Energy AC)
D.1450.ENERGY,Active Power AC ENERGY
D.1450.PERC,Active Power AC %
D.1460.ENERGY,Active Power AC ENERGY
D.1460.PERC,Active Power AC %
D.1470.ENERGY,Active Power AC ENERGY
D.1470.PERC,Active Power AC %
D.1511.ENERGY,Active Power ENERGY
D.1511.PERC,Active Power %
D.1512.DELTA,Energy AC DELTA
D.1512.EH,Ore equivalenti (Energy AC)
D.1523.ENERGY,Active Power AC ENERGY
D.1523.PERC,Active Power AC %
D.1533.ENERGY,Active Power AC ENERGY
D.1533.PERC,Active Power AC %
D.1543.ENERGY,Active Power AC ENERGY
D.1543.PERC,Active Power AC %
D.156.DELTA,Energia Prodotta Display DELTA
D.156.EH,Ore equivalenti (Energia Prodotta Display)
D.157.DELTA,Energia Prelevata Display DELTA
D.157.EH,Ore equivalenti (Energia Prelevata Display)
D.158.ENERGY,Active Power AC ENERGY
D.158.PERC,Active Power AC %
D.1584.ENERGY,Active Power ENERGY
D.1584.PERC,Active Power %
D.1585.DELTA,Energy AC DELTA
D.1585.EH,Ore equivalenti (Energy AC)
D.1596.ENERGY,Active Power AC ENERGY
D.1596.PERC,Active Power AC %
D.1606.ENERGY,Active Power AC ENERGY
D.1606.PERC,Active Power AC %
D.1616.ENERGY,Active Power AC ENERGY
