timestamp,156,172,D.156.DELTA,D.171.ISIRR
2023-08-16 19:00:00,56175056.0,22.359,0.0,2.447
2023-08-16 20:00:00,56175056.0,22.785,0.0,2.447
2023-08-16 21:00:00,56175056.0,23.838,0.0,2.461
2023-08-16 22:00:00,56175056.0,23.811,0.0,2.456
2023-08-16 23:00:00,56175056.0,23.893,0.0,2.453
2023-08-17 00:00:00,56175056.0,23.749,0.0,2.463
2023-08-17 01:00:00,56175056.0,23.546,0.0,2.447
2023-08-17 02:00:00,56175056.0,23.187,0.0,2.453
2023-08-17 03:00:00,56175080.0,23.03,24.0,16.944
2023-08-17 04:00:00,56175292.0,23.905,212.0,81.27
2023-08-17 05:00:00,56175936.0,26.142,644.0,227.603
2023-08-17 06:00:00,56177576.0,28.242,1640.0,494.203
2023-08-17 07:00:00,56179948.0,30.367,2372.0,701.043
2023-08-17 08:00:00,56182844.0,31.997,2896.0,859.081
2023-08-17 09:00:00,56185844.0,32.966,3000.0,896.57
2023-08-17 10:00:00,56189048.0,34.101,3204.0,976.017
2023-08-17 11:00:00,56191624.0,34.755,2576.0,890.597
2023-08-17 12:00:00,56194408.0,35.141,2784.0,836.757
2023-08-17 13:00:00,56196056.0,34.965,1648.0,489.981
2023-08-17 14:00:00,56196920.0,34.489,864.0,270.981
2023-08-17 15:00:00,56197400.0,34.042,480.0,167.609
2023-08-17 16:00:00,56197536.0,32.409,136.0,54.286
2023-08-17 17:00:00,56197536.0,30.109,0.0,4.234
2023-08-17 18:00:00,56197536.0,28.866,0.0,2.48
2023-08-17 19:00:00,56197536.0,27.222,0.0,2.461
2023-08-17 20:00:00,56197536.0,25.665,0.0,2.457
2023-08-17 21:00:00,56197536.0,25.012,0.0,2.457
2023-08-17 22:00:00,56197536.0,24.237,0.0,2.459
2023-08-17 23:00:00,56197536.0,22.91,0.0,2.447
2023-08-18 00:00:00,56197536.0,23.093,0.0,2.439
2023-08-18 01:00:00,56197536.0,23.523,0.0,2.463
2023-08-18 02:00:00,56197536.0,23.363,0.0,2.456
2023-08-18 03:00:00,56197572.0,22.955,36.0,20.688
2023-08-18 04:00:00,56197828.0,24.901,256.0,98.616
2023-08-18 05:00:00,56198724.0,27.493,896.0,309.497
2023-08-18 06:00:00,56199556.0,28.261,832.0,237.059
2023-08-18 07:00:00,56200924.0,29.88,1368.0,424.379
2023-08-18 08:00:00,56203340.0,32.237,2416.0,731.287
2023-08-18 09:00:00,56206312.0,34.12,2972.0,676.712
2023-08-18 10:00:00,56208364.0,35.272,2052.0,711.989
2023-08-18 11:00:00,56210688.0,35.988,2324.0,734.495
2023-08-18 12:00:00,56213180.0,36.544,2492.0,782.977
2023-08-18 13:00:00,56215000.0,36.387,1820.0,560.921
2023-08-18 14:00:00,56216144.0,35.666,1144.0,356.965
2023-08-18 15:00:00,56216544.0,34.424,400.0,142.97
2023-08-18 16:00:00,56216628.0,32.161,84.0,40.669
2023-08-18 17:00:00,56216628.0,28.946,0.0,3.82
2023-08-18 18:00:00,56216628.0,26.935,0.0,2.472
2023-08-18 19:00:00,56216628.0,26.377,0.0,2.471
2023-08-18 20:00:00,56216628.0,25.809,0.0,2.474
2023-08-18 21:00:00,56216628.0,23.929,0.0,2.472
2023-08-18 22:00:00,56216628.0,23.07,0.0,2.441
2023-08-18 23:00:00,56216628.0,23.361,0.0,2.423
2023-08-19 00:00:00,56216628.0,22.214,0.0,2.438
2023-08-19 01:00:00,56216628.0,22.37,0.0,2.448
2023-08-19 02:00:00,56216628.0,23.235,0.0,2.468
2023-08-19 03:00:00,56216648.0,23.155,20.0,16.392
2023-08-19 04:00:00,56216872.0,24.562,224.0,90.594
2023-08-19 05:00:00,56217588.0,27.627,716.0,262.428
2023-08-19 06:00:00,56219156.0,29.525,1568.0,482.024
2023-08-19 07:00:00,56221404.0,31.686,2248.0,675.793
2023-08-19 08:00:00,56224184.0,33.447,2780.0,843.461
2023-08-19 09:00:00,56227264.0,34.084,3080.0,941.267
2023-08-19 10:00:00,56230424.0,34.487,3160.0,978.567
2023-08-19 11:00:00,56232936.0,34.797,2512.0,838.636
2023-08-19 12:00:00,56235648.0,35.263,2712.0,829.164
2023-08-19 13:00:00,56237848.0,35.479,2200.0,660.833
2023-08-19 14:00:00,56239268.0,35.293,1420.0,442.241
2023-08-19 15:00:00,56239912.0,34.733,644.0,225.574
2023-08-19 16:00:00,56239996.0,33.314,84.0,46.281
2023-08-19 17:00:00,56239996.0,28.586,0.0,3.547
2023-08-19 18:00:00,56239996.0,27.254,0.0,2.452
2023-08-19 19:00:00,56239996.0,26.443,0.0,2.469
2023-08-19 20:00:00,56239996.0,24.557,0.0,2.462
2023-08-19 21:00:00,56239996.0,23.066,0.0,2.442
2023-08-19 22:00:00,56239996.0,22.56,0.0,2.43
